DAUID,Province or territory,CISR Dimension 1 Scores,CISR Dimension 2 Scores,CISR Dimension 3 Scores,CISR Scores,CISR Quintiles,CISR Most Resilient Dimension
10010599,Newfoundland & Labrador,0.15491,0.57526,0.00236,0.24418,4,Dimension 2
10010600,Newfoundland & Labrador,0.72137,0.85763,-0.31839,0.4202,4,Dimension 2
10010601,Newfoundland & Labrador,-0.05417,0.42563,0.1236,0.16502,3,Dimension 2
10010602,Newfoundland & Labrador,-0.08696,0.47749,0.53837,0.30963,4,Dimension 3
10010603,Newfoundland & Labrador,-0.61638,0.13321,0.10158,-0.1272,3,Dimension 2
10010604,Newfoundland & Labrador,-0.08861,0.66086,-0.12666,0.14853,3,Dimension 2
10010605,Newfoundland & Labrador,0.64566,1.53842,1.72543,1.30317,5,Dimension 3
10010607,Newfoundland & Labrador,0.25369,0.28483,1.26263,0.60038,5,Dimension 3
10010608,Newfoundland & Labrador,-0.08805,0.45569,1.47197,0.61321,5,Dimension 3
10010610,Newfoundland & Labrador,-0.22515,0.47016,0.42347,0.22283,4,Dimension 2
10010611,Newfoundland & Labrador,0.10671,0.71764,-0.25035,0.19133,4,Dimension 2
10010614,Newfoundland & Labrador,-0.10692,0.85616,0.96703,0.57209,5,Dimension 3
10010617,Newfoundland & Labrador,-0.1844,0.41575,1.06409,0.43181,4,Dimension 3
10010618,Newfoundland & Labrador,-0.14899,0.48663,1.06483,0.46749,4,Dimension 3
10010619,Newfoundland & Labrador,-0.54902,0.24411,0.82494,0.17334,4,Dimension 3
10010620,Newfoundland & Labrador,0.42666,0.02079,-0.79019,-0.11424,3,Dimension 1
10010621,Newfoundland & Labrador,-0.56827,-0.21201,1.23262,0.15078,3,Dimension 3
10010622,Newfoundland & Labrador,0.12614,0.19505,0.83432,0.38517,4,Dimension 3
10010623,Newfoundland & Labrador,0.00926,0.2628,0.35108,0.20771,4,Dimension 3
10010624,Newfoundland & Labrador,-0.08838,0.28337,-1.61661,-0.47387,2,Dimension 2
10010625,Newfoundland & Labrador,-0.37558,0.51258,-0.56615,-0.14305,3,Dimension 2
10010626,Newfoundland & Labrador,-0.35486,0.1113,-0.40326,-0.21561,2,Dimension 2
10010627,Newfoundland & Labrador,-0.14717,0.54467,-1.49962,-0.36738,2,Dimension 2
10010628,Newfoundland & Labrador,-0.03901,0.66293,-1.04724,-0.14111,3,Dimension 2
10010629,Newfoundland & Labrador,-0.31544,0.36255,-0.8704,-0.27443,2,Dimension 2
